timestamp,solar_output,wind_output,total_renewable,solar_irradiance,wind_speed,temperature,humidity,pressure,load_demand,grid_frequency,grid_voltage,grid_exchange,battery_soc,battery_charge,battery_discharge,hour,day_of_week,predicted_solar_output,predicted_wind_output,predicted_total_energy
01-01-2023 00:00:00,37.45401188,8.273683562,45.72769545,751.423457,18.77028453,18.09490515,53.21560977,1004.872349,294.401249,49.12376042,228.9330286,-30.55110767,10.38509744,45.36555785,36.18309641,0,6,38.9778325,8.698819118,47.67665161
01-01-2023 01:00:00,95.07143064,48.45379951,143.5252301,301.682091,6.63860462,11.66904241,63.90699727,1009.493484,185.824084,49.90886973,223.6171603,-2.0233323,86.30364932,7.791319165,7.240727736,1,6,86.0598929,53.23370108,139.293594
01-01-2023 02:00:00,73.19939418,30.24195113,103.4413453,485.3785354,14.29674223,12.94582621,26.2341792,970.7530135,347.3635743,49.57511913,222.8546814,94.96394702,92.26935134,41.13101106,21.8485085,2,6,76.02757382,29.33977734,105.3673512
01-01-2023 03:00:00,59.86584842,56.34083645,116.2066849,673.9863951,22.35757233,38.47860259,53.16523787,970.8332857,193.6417711,49.54912935,227.8618722,52.71292441,48.24263644,35.14573484,14.41861052,3,6,65.12121466,52.11113212,117.2323468
01-01-2023 04:00:00,15.60186404,80.38048905,95.98235309,868.4573641,11.87994299,4.807723413,69.22833048,977.6218169,244.0235719,49.44476316,221.9815387,70.34794783,42.5471533,48.76058603,49.34343289,4,6,14.59955438,81.5616276,96.16118198
01-01-2023 05:00:00,15.59945203,13.71484882,29.31430085,234.928743,23.62793768,21.36622348,48.94358043,1021.172159,73.56216839,49.66505672,239.1492901,1.129913781,53.90392769,23.16532843,20.76978532,5,6,15.66597981,14.43896999,30.10494981
01-01-2023 06:00:00,5.808361217,58.06990846,63.87826967,389.3065052,5.361455733,11.00313348,71.15026022,1010.626606,496.6421315,49.70626615,220.9507836,5.224722356,22.61946248,36.10871857,3.393505151,6,6,6.036950962,55.58211637,61.61906733
01-01-2023 07:00:00,86.61761458,50.55087604,137.1684906,911.7991922,1.853977644,-6.942690948,50.60721525,1034.576265,278.4246725,49.61755155,228.0273925,-59.13506771,29.79658614,25.89419601,20.56060007,7,6,81.94163891,47.88387619,129.8255151
01-01-2023 08:00:00,60.11150117,14.4078786,74.51937978,207.3324401,22.28634683,14.46654158,40.02396228,979.5658572,60.90691737,50.95750543,223.254054,44.20916726,10.09771705,3.470024835,16.06751403,8,6,63.13569747,15.27942442,78.41512189
01-01-2023 09:00:00,70.80725778,62.39984855,133.2071063,361.1192822,21.19202995,30.66716645,37.32445424,1041.206806,293.5537964,50.86546217,233.7762264,-15.68319884,44.64500911,2.338237487,29.97913235,9,6,76.01992424,65.56629507,141.5862193
01-01-2023 10:00:00,2.05844943,27.36404179,29.42249122,967.2193408,24.8147469,-5.062351566,46.98118531,1024.370616,441.6592997,50.1490202,221.576229,48.48937176,61.16916225,6.105572144,11.30390876,10,6,2.187946879,25.74076287,27.92870975
01-01-2023 11:00:00,96.99098522,48.78343185,145.7744171,690.7214772,16.9848372,-6.52040763,12.07806604,989.501167,397.6484604,50.96210968,230.9361115,-18.18892374,93.02237344,14.80955319,1.798682485,11,6,92.31405887,52.38628932,144.7003482
01-01-2023 12:00:00,83.24426408,8.227232428,91.47149651,409.3370933,23.41719817,-2.31842398,70.16726246,959.5262066,365.4080079,50.98239602,235.4620299,-78.29656256,73.90731706,12.95565529,4.794018758,12,6,88.30911883,7.626199231,95.93531806
01-01-2023 13:00:00,21.23391107,45.95840572,67.19231679,253.5928755,20.67372563,28.22000557,86.05950769,975.6983662,112.7590946,49.71187942,239.0011967,-65.38926244,72.30637336,36.41633344,14.15737948,13,6,20.8658987,42.36666279,63.23256149
01-01-2023 14:00:00,18.18249672,30.6463468,48.82884352,222.5530724,21.11065833,26.19976921,41.9164385,1045.676822,345.9816855,49.89037509,233.9705513,62.31401561,30.79989621,35.79613675,17.41613158,14,6,17.33324112,29.73374295,47.06698407
01-01-2023 15:00:00,18.34045099,82.23812112,100.5785721,395.7960637,14.22853926,18.25088845,14.14298225,981.0363376,394.8342701,50.91812355,221.9898352,-48.27670209,88.82932975,48.56972899,41.722527,15,6,17.12254038,88.59566396,105.7182043
01-01-2023 16:00:00,30.4242243,5.6978727,36.122097,905.1886557,9.559114948,13.4113202,98.80980376,982.990096,307.5885788,50.2172524,221.770411,-47.12911549,94.69556967,15.51954127,13.5034842,16,6,32.91281292,5.92059134,38.83340426
01-01-2023 17:00:00,52.47564316,41.86072749,94.33637066,532.7309234,23.36395181,34.41629074,33.73284299,968.9588931,451.737052,49.42585817,234.631961,85.873618,93.22629365,46.92260419,1.574652674,17,6,51.70842346,40.97929615,92.6877196
01-01-2023 18:00:00,43.19450186,45.84314241,89.03764428,776.2666953,10.80292939,28.33489119,21.39590095,1030.68506,174.6454018,50.37876134,224.3065881,31.52712457,3.880302652,30.64253017,39.03667416,18,6,46.35401715,42.70060347,89.05462062
